FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,Cajamarca,Peru,2020-07-09 04:34:23,-6.4302839999999994,-78.74559599999998,3012,114,0,2898,"Cajamarca, Peru",207.19543234505053,3.7848605577689245
,,Calabria,Italy,2020-07-09 04:34:23,38.90597598,16.59440194,1185,97,1060,28,"Calabria, Italy",60.85877118694121,8.185654008438819
,,Caldas,Colombia,2020-07-09 04:34:23,5.2983,-75.2479,278,8,202,68,"Caldas, Colombia",27.848595799670424,2.8776978417266186
,,Callao,Peru,2020-07-09 04:34:23,-11.954609,-77.136042,18621,683,0,17938,"Callao, Peru",1648.0219488450305,3.6679018312657754
,,Campania,Italy,2020-07-09 04:34:23,40.83956555,14.25084984,4750,432,4090,228,"Campania, Italy",81.87266749079406,9.094736842105263
,,Campeche,Mexico,2020-07-09 04:34:23,19.8301,-90.5349,2606,270,2079,257,"Campeche, Mexico",260.4393089463801,10.360706062931696
,,Canarias,Spain,2020-07-09 04:34:23,28.2916,-16.6291,2444,162,1537,745,"Canarias, Spain",110.74352678257885,6.62847790507365
,,Cantabria,Spain,2020-07-09 04:34:23,43.1828,-3.9878,2369,216,2287,-134,"Cantabria, Spain",407.2959093323888,9.117771211481637
,,Capital District,Colombia,2020-07-09 04:34:23,4.711,-74.0721,39248,931,15228,23089,"Capital District, Colombia",529.4792653448212,2.372095393395842
,,Caqueta,Colombia,2020-07-09 04:34:23,0.8699,-73.8419,67,2,23,42,"Caqueta, Colombia",16.687879369048716,2.985074626865672
,,Casanare,Colombia,2020-07-09 04:34:23,5.7589,-71.5724,88,0,49,39,"Casanare, Colombia",20.927268230504342,0.0
,,Castilla - La Mancha,Spain,2020-07-09 04:34:23,39.2796,-3.0977,18307,3029,6392,8886,"Castilla - La Mancha, Spain",899.6612571668951,16.545583656524826
,,Castilla y Leon,Spain,2020-07-09 04:34:23,41.8357,-4.3976,19778,2788,8716,8274,"Castilla y Leon, Spain",821.4365961674323,14.096470826170492
,,Catalonia,Spain,2020-07-09 04:34:23,41.5912,1.5209,63042,5675,26203,31164,"Catalonia, Spain",833.1801347293064,9.001935217791313
,,Cauca,Colombia,2020-07-09 04:34:23,2.705,-76.82600000000002,599,22,188,389,"Cauca, Colombia",40.901666657562224,3.672787979966611
,,Cayman Islands,United Kingdom,2020-07-09 04:34:23,19.3133,-81.2546,201,1,197,3,"Cayman Islands, United Kingdom",305.8429701765064,0.4975124378109453
,,Ceara,Brazil,2020-07-09 04:34:23,-5.4984,-39.3206,128471,6665,102145,19661,"Ceara, Brazil",1406.8101477013226,5.1879412474410564
,,Cesar,Colombia,2020-07-09 04:34:23,9.3373,-73.6536,1341,34,683,624,"Cesar, Colombia",111.69657180648588,2.535421327367636
,,Ceuta,Spain,2020-07-09 04:34:23,35.8894,-5.3213,163,4,163,-4,"Ceuta, Spain",192.15126902356502,2.4539877300613497
,,Chandigarh,India,2020-07-09 04:34:23,30.733839,76.76827800000002,513,7,402,104,"Chandigarh, India",44.28243040623303,1.364522417153996
,,Channel Islands,United Kingdom,2020-07-09 04:34:23,49.3723,-2.3644,577,47,512,18,"Channel Islands, United Kingdom",338.418407146083,8.145580589254767
,,Chechen Republic,Russia,2020-07-09 04:34:23,43.39761470000001,45.6985005,1801,25,1225,551,"Chechen Republic, Russia",125.33220689765557,1.38811771238201
,,Chelyabinsk Oblast,Russia,2020-07-09 04:34:23,54.4223954,61.1865846,8262,88,4380,3794,"Chelyabinsk Oblast, Russia",236.52776553118838,1.065117404986686
,,Cherkasy Oblast,Ukraine,2020-07-09 04:34:23,49.4444,32.0598,695,27,529,139,"Cherkasy Oblast, Ukraine",57.61175644567792,3.884892086330935
,,Chernihiv Oblast,Ukraine,2020-07-09 04:34:23,51.4982,31.2893,578,13,196,369,"Chernihiv Oblast, Ukraine",57.469835793367096,2.2491349480968856
,,Chernivtsi Oblast,Ukraine,2020-07-09 04:34:23,48.2917,25.9352,5051,192,2386,2473,"Chernivtsi Oblast, Ukraine",558.5078739548019,3.8012274797069887
,,Chhattisgarh,India,2020-07-09 04:34:23,21.264705,82.035366,3525,14,2835,676,"Chhattisgarh, India",11.975038516310056,0.3971631205673759
,,Chiapas,Mexico,2020-07-09 04:34:23,16.7569,-93.1292,5050,685,4084,281,"Chiapas, Mexico",88.12699081926166,13.564356435643564
,,Chiba,Japan,2020-07-09 04:34:23,35.510141,140.198917,1043,46,895,102,"Chiba, Japan",16.662986857168967,4.410354745925216
,,Chihuahua,Mexico,2020-07-09 04:34:23,28.63300000000001,-106.0691,3552,697,2665,190,"Chihuahua, Mexico",93.43712078983827,19.62274774774775
,,Choco,Colombia,2020-07-09 04:34:23,5.2528,-76.82600000000002,2002,63,736,1203,"Choco, Colombia",374.3273513254778,3.1468531468531467
,,Chongqing,China,2020-07-09 04:34:23,30.0572,107.874,582,6,575,1,"Chongqing, China",1.8762088974854931,1.0309278350515463
,,Chukotka Autonomous Okrug,Russia,2020-07-09 04:34:23,66.0006475,169.4900869,142,1,137,4,"Chukotka Autonomous Okrug, Russia",287.7522898597714,0.704225352112676
,,Chuvashia Republic,Russia,2020-07-09 04:34:23,55.4259922,47.0849429,5590,43,3080,2467,"Chuvashia Republic, Russia",454.05919989732905,0.7692307692307693
,,Ciudad de Mexico,Mexico,2020-07-09 04:34:23,19.4326,-99.1332,54405,7303,42980,4122,"Ciudad de Mexico, Mexico",603.2502665311697,13.423398584688908
,,Coahuila,Mexico,2020-07-09 04:34:23,27.0587,-101.7068,6484,318,4936,1230,"Coahuila, Mexico",201.4465377541383,4.904380012338063
,,Colima,Mexico,2020-07-09 04:34:23,19.1223,-104.0072,757,94,497,166,"Colima, Mexico",96.41432943642832,12.417437252311757
,,Coquimbo,Chile,2020-07-09 04:34:23,-29.959,-71.3389,3688,27,2967,694,"Coquimbo, Chile",486.80941833666407,0.7321041214750542
,,Cordoba,Colombia,2020-07-09 04:34:23,8.0493,-75.574,1187,92,294,801,"Cordoba, Colombia",66.50668456613494,7.750631844987363
,,Crimea Republic*,Ukraine,2020-07-09 04:34:23,45.2835,34.2008,789,12,596,181,"Crimea Republic*, Ukraine",41.22836490603957,1.520912547528517
,,Cundinamarca,Colombia,2020-07-09 04:34:23,5.026,-74.03,3327,81,1686,1560,"Cundinamarca, Colombia",113.97504676162876,2.434625788999098
,,Curacao,Netherlands,2020-07-09 04:34:23,12.1696,-68.99,23,1,19,3,"Curacao, Netherlands",14.015843997562461,4.3478260869565215
,,Cusco,Peru,2020-07-09 04:34:23,-13.191068,-72.153609,2059,23,0,2036,"Cusco, Peru",151.72058064991526,1.117047110247693
,,Dadra and Nagar Haveli and Daman and Diu,India,2020-07-09 04:34:23,20.194742,73.080901,408,0,184,224,"Dadra and Nagar Haveli and Daman and Diu, India",66.26345570417915,0.0
,,Dagestan Republic,Russia,2020-07-09 04:34:23,43.05749160000001,47.1332224,8280,400,6354,1526,"Dagestan Republic, Russia",270.2451299575539,4.830917874396135
,,Dalarna,Sweden,2020-07-09 04:34:23,61.0917,14.6664,1817,159,0,1658,"Dalarna, Sweden",630.9772681497121,8.750687947165657
,,Delhi,India,2020-07-09 04:34:23,28.646519,77.10898,104864,3213,78199,23452,"Delhi, India",560.4427189638224,3.0639685688129386
,,Diamond Princess,Canada,2020-07-09 04:34:23,,,0,1,0,,"Diamond Princess, Canada",,
88888,,Diamond Princess,US,2020-07-09 04:34:23,,,49,0,0,49,"Diamond Princess, US",,0.0
,,Distrito Federal,Brazil,2020-07-09 04:34:23,-15.7998,-47.8645,64314,801,50879,12634,"Distrito Federal, Brazil",2132.9447332708073,1.2454520011195074
,,Dnipropetrovsk Oblast,Ukraine,2020-07-09 04:34:23,48.4647,35.0462,1120,23,1000,97,"Dnipropetrovsk Oblast, Ukraine",34.929300911873064,2.0535714285714284
,,Donetsk Oblast,Ukraine,2020-07-09 04:34:23,48.0159,37.8028,713,10,203,500,"Donetsk Oblast, Ukraine",17.11514507905973,1.402524544179523
,,Durango,Mexico,2020-07-09 04:34:23,24.5593,-104.6588,2447,166,1838,443,"Durango, Mexico",130.92590888370012,6.78381691867593
,,Ehime,Japan,2020-07-09 04:34:23,33.624835,132.856842,82,5,77,0,"Ehime, Japan",6.122989960536582,6.097560975609756
,,Emilia-Romagna,Italy,2020-07-09 04:34:23,44.49436681,11.341720800000001,28755,4269,23415,1071,"Emilia-Romagna, Italy",644.8065546699759,14.846113719353156
,,England,United Kingdom,2020-07-09 04:34:23,52.3555,-1.1743,246992,39936,0,207056,"England, United Kingdom",441.23678926420035,16.168944743149577
,,Espirito Santo,Brazil,2020-07-09 04:34:23,-19.1834,-40.3089,58537,1911,38609,18017,"Espirito Santo, Brazil",1456.6334465554353,3.2646018757367137
,,Extremadura,Spain,2020-07-09 04:34:23,39.4937,-6.0679,3076,519,2652,-95,"Extremadura, Spain",288.71134872126026,16.87256176853056
,,Falkland Islands (Malvinas),United Kingdom,2020-07-09 04:34:23,-51.7963,-59.5236,13,0,13,0,"Falkland Islands (Malvinas), United Kingdom",373.2414585127763,0.0
,,Faroe Islands,Denmark,2020-07-09 04:34:23,61.8926,-6.9118,188,0,188,0,"Faroe Islands, Denmark",384.7334492990893,0.0
,,French Guiana,France,2020-07-09 04:34:23,4.0,-53.0,5459,22,2349,3088,"French Guiana, France",1827.696345946525,0.40300421322586555
,,French Polynesia,France,2020-07-09 04:34:23,-17.6797,-149.4068,62,0,60,2,"French Polynesia, France",22.071597414063167,0.0
,,Friuli Venezia Giulia,Italy,2020-07-09 04:34:23,45.6494354,13.76813649,3331,345,2904,82,"Friuli Venezia Giulia, Italy",274.1067461035862,10.357250075052537
,,Fujian,China,2020-07-09 04:34:23,26.0789,117.9874,363,1,360,2,"Fujian, China",0.9210860187769602,0.27548209366391185
,,Fukui,Japan,2020-07-09 04:34:23,35.846614,136.22465400000002,122,8,114,0,"Fukui, Japan",15.886719874156348,6.557377049180328
,,Fukuoka,Japan,2020-07-09 04:34:23,33.526032,130.666949,894,33,807,54,"Fukuoka, Japan",17.516775643609247,3.6912751677852347
,,Fukushima,Japan,2020-07-09 04:34:23,37.378867,140.223295,82,0,81,1,"Fukushima, Japan",4.443194570199494,0.0
,,Galicia,Spain,2020-07-09 04:34:23,42.5751,-8.1339,9371,619,9204,-452,"Galicia, Spain",347.0173945662948,6.605485006936293
,,Gansu,China,2020-07-09 04:34:23,35.7518,104.2861,167,2,162,3,"Gansu, China",0.6332954114524081,1.1976047904191616
,,Gavleborg,Sweden,2020-07-09 04:34:23,61.3012,16.1534,2726,139,0,2587,"Gavleborg, Sweden",948.5632363891963,5.099046221570066
,,Gibraltar,United Kingdom,2020-07-09 04:34:23,36.1408,-5.3536,179,0,176,3,"Gibraltar, United Kingdom",531.2991600130598,0.0
,,Gifu,Japan,2020-07-09 04:34:23,35.778671,137.055925,163,7,147,9,"Gifu, Japan",8.205027013667161,4.294478527607362
,,Gilgit-Baltistan,Pakistan,2020-07-09 04:34:23,35.792146,74.982138,1605,31,1272,302,"Gilgit-Baltistan, Pakistan",158.34898735575936,1.9314641744548287
,,Goa,India,2020-07-09 04:34:23,15.359682000000001,74.057396,2039,8,1207,824,"Goa, India",128.54215918045705,0.392349190779794
,,Goias,Brazil,2020-07-09 04:34:23,-15.827,-49.8362,32664,733,0,31931,"Goias, Brazil",465.4082709421611,2.2440607396522165
,,Gotland,Sweden,2020-07-09 04:34:23,57.4684,18.4867,174,6,0,168,"Gotland, Sweden",291.5256509064102,3.4482758620689653
,,Grand Princess,Canada,2020-07-09 04:34:23,,,13,0,13,0,"Grand Princess, Canada",,0.0
99999,,Grand Princess,US,2020-07-09 04:34:23,,,103,3,0,100,"Grand Princess, US",,2.912621359223301
,,Greenland,Denmark,2020-07-09 04:34:23,71.7069,-42.6043,13,0,13,0,"Greenland, Denmark",22.898611991826957,0.0
,,Guadeloupe,France,2020-07-09 04:34:23,16.265,-61.551,184,14,157,13,"Guadeloupe, France",45.98539963561569,7.608695652173913
,,Guainia,Colombia,2020-07-09 04:34:23,2.5854,-68.5247,14,1,11,2,"Guainia, Colombia",29.097559961757486,7.142857142857143
66,,Guam,US,2020-07-09 04:34:23,13.4443,144.7937,307,5,0,302,"Guam, US",186.9340981190898,1.6286644951140066
,,Guanajuato,Mexico,2020-07-09 04:34:23,21.019,-101.2574,10295,473,7849,1973,"Guanajuato, Mexico",165.2972178848539,4.594463331714424
,,Guangdong,China,2020-07-09 04:34:23,23.3417,113.4244,1647,8,1631,8,"Guangdong, China",1.4516129032258065,0.48573163327261687
,,Guangxi,China,2020-07-09 04:34:23,23.8298,108.7881,254,2,252,0,"Guangxi, China",0.5156313438895656,0.7874015748031497
,,Guaviare,Colombia,2020-07-09 04:34:23,1.0654,-73.2603,39,0,9,30,"Guaviare, Colombia",47.12022907680597,0.0
,,Guerrero,Mexico,2020-07-09 04:34:23,17.4392,-99.5451,6734,1022,4913,799,"Guerrero, Mexico",184.1375885687035,15.176715176715177
,,Guizhou,China,2020-07-09 04:34:23,26.8154,106.8748,147,2,145,0,"Guizhou, China",0.4083333333333333,1.3605442176870748
,,Gujarat,India,2020-07-09 04:34:23,22.694884,71.590923,38333,1993,27289,9051,"Gujarat, India",60.01496828074361,5.199175645005608
,,Gunma,Japan,2020-07-09 04:34:23,36.504478999999996,138.985605,155,19,133,3,"Gunma, Japan",7.979588726848896,12.258064516129032
,,Hainan,China,2020-07-09 04:34:23,19.1959,109.7453,171,6,165,0,"Hainan, China",1.8308351177730195,3.508771929824561
,,Halland,Sweden,2020-07-09 04:34:23,56.8967,12.8034,1620,75,0,1545,"Halland, Sweden",485.25077280678636,4.62962962962963
,,Hamburg,Germany,2020-07-09 04:34:23,53.5511,9.9937,5228,261,4900,67,"Hamburg, Germany",283.94849170015516,4.992348890589136
,,Haryana,India,2020-07-09 04:34:23,29.20004,76.332824,18690,282,14106,4302,"Haryana, India",66.26557028171058,1.5088282504012842
,,Hebei,China,2020-07-09 04:34:23,37.8957,114.9042,349,6,339,4,"Hebei, China",0.4618845950238221,1.7191977077363896
,,Heilongjiang,China,2020-07-09 04:34:23,47.861999999999995,127.7615,947,13,934,0,"Heilongjiang, China",2.5099390405512856,1.3727560718057021
,,Henan,China,2020-07-09 04:34:23,33.882,113.61399999999999,1276,22,1254,0,"Henan, China",1.3284747527329517,1.7241379310344827
,,Hessen,Germany,2020-07-09 04:34:23,50.6521,9.1624,11012,512,10200,300,"Hessen, Germany",175.74745735147687,4.649473301852525
,,Hidalgo,Mexico,2020-07-09 04:34:23,20.0911,-98.7624,4515,754,3270,491,"Hidalgo, Mexico",146.28627267761226,16.699889258028794
,,Himachal Pradesh,India,2020-07-09 04:34:23,31.927213000000002,77.233081,1101,11,833,257,"Himachal Pradesh, India",14.774646384740649,0.9990917347865577
,,Hiroshima,Japan,2020-07-09 04:34:23,34.605309000000005,132.788719,168,3,163,2,"Hiroshima, Japan",5.9910626183725215,1.7857142857142858
,,Hokkaido,Japan,2020-07-09 04:34:23,43.385711,142.55231799999999,1273,101,1093,79,"Hokkaido, Japan",24.247392738620164,7.9340141398271795
,,Hong Kong,China,2020-07-09 04:34:23,22.3,114.2,1323,7,1167,149,"Hong Kong, China",17.64708707016738,0.5291005291005291
,,Huancavelica,Peru,2020-07-09 04:34:23,-13.023888000000001,-75.00277,1023,19,0,1004,"Huancavelica, Peru",280.0437996167533,1.8572825024437927
,,Huanuco,Peru,2020-07-09 04:34:23,-9.421676,-76.040642,3272,89,0,3183,"Huanuco, Peru",430.35643824806,2.720048899755501
,,Hubei,China,2020-07-09 04:34:23,30.9756,112.2707,68135,4512,63623,0,"Hubei, China",115.15125908399528,6.622147207749321
,,Huila,Colombia,2020-07-09 04:34:23,2.5359,-75.5277,389,15,278,96,"Huila, Colombia",35.351231295200044,3.8560411311053984
,,Hunan,China,2020-07-09 04:34:23,27.6104,111.7088,1019,4,1015,0,"Hunan, China",1.4770256558921582,0.39254170755642787
,,Hyogo,Japan,2020-07-09 04:34:23,35.039913,134.828057,720,45,656,19,"Hyogo, Japan",13.171880231020145,6.25
,,Ibaraki,Japan,2020-07-09 04:34:23,36.303588,140.319591,188,10,160,18,"Ibaraki, Japan",6.5727210400841605,5.319148936170213
,,Ica,Peru,2020-07-09 04:34:23,-14.235097,-75.574821,8783,561,0,8222,"Ica, Peru",900.6357670221493,6.387339177957418
,,Ingushetia Republic,Russia,2020-07-09 04:34:23,43.11542075,45.01713552,3205,71,2508,626,"Ingushetia Republic, Russia",656.7044297326261,2.215288611544462
,,Inner Mongolia,China,2020-07-09 04:34:23,44.0935,113.9448,244,1,237,6,"Inner Mongolia, China",0.9629044988161012,0.4098360655737705
,,Irkutsk Oblast,Russia,2020-07-09 04:34:23,56.6370122,104.719221,9225,82,3845,5298,"Irkutsk Oblast, Russia",383.7043168295417,0.8888888888888888
,,Ishikawa,Japan,2020-07-09 04:34:23,36.769464,136.771027,300,27,265,8,"Ishikawa, Japan",26.370172170854104,9.0
,,Islamabad,Pakistan,2020-07-09 04:34:23,33.665087,73.121219,13731,142,9939,3650,"Islamabad, Pakistan",684.3013856467647,1.034156288689826
,,Isle of Man,United Kingdom,2020-07-09 04:34:23,54.2361,-4.5481,336,24,312,0,"Isle of Man, United Kingdom",395.14535704205474,7.142857142857143
,,Ivano-Frankivsk Oblast,Ukraine,2020-07-09 04:34:23,48.9226,24.7111,2797,105,1204,1488,"Ivano-Frankivsk Oblast, Ukraine",203.67711097453343,3.754022166607079
,,Ivanovo Oblast,Russia,2020-07-09 04:34:23,56.9167446,41.43521370000001,5232,51,3255,1926,"Ivanovo Oblast, Russia",515.6478219990026,0.9747706422018348
,,Jalisco,Mexico,2020-07-09 04:34:23,20.6595,-103.3494,8274,917,6211,1146,"Jalisco, Mexico",98.38646904233008,11.082910321489003
,,Jammu and Kashmir,India,2020-07-09 04:34:23,33.75943,76.612638,9261,149,5567,3545,"Jammu and Kashmir, India",68.06395851339671,1.6088975272648742
,,Jamtland Harjedalen,Sweden,2020-07-09 04:34:23,63.1712,14.9592,1068,54,0,1014,"Jamtland Harjedalen, Sweden",816.4513416405472,5.056179775280899
,,Jewish Autonomous Okrug,Russia,2020-07-09 04:34:23,48.57527615,132.66307460000002,452,6,370,76,"Jewish Autonomous Okrug, Russia",278.98823558457906,1.3274336283185841
,,Jharkhand,India,2020-07-09 04:34:23,23.654536,85.557631,3096,22,2170,904,"Jharkhand, India",8.021983135801499,0.710594315245478
,,Jiangsu,China,2020-07-09 04:34:23,32.9711,119.455,654,0,654,0,"Jiangsu, China",0.8123214507514595,0.0
,,Jiangxi,China,2020-07-09 04:34:23,27.614,115.7221,932,1,931,0,"Jiangxi, China",2.0051635111876074,0.1072961373390558
,,Jilin,China,2020-07-09 04:34:23,43.6661,126.1923,155,2,153,0,"Jilin, China",0.5732248520710059,1.2903225806451613
,,Jonkoping,Sweden,2020-07-09 04:34:23,57.3708,14.3439,4351,175,0,4176,"Jonkoping, Sweden",1196.6479555774354,4.022063893357849
,,Junin,Peru,2020-07-09 04:34:23,-11.541783,-74.876968,4725,189,0,4536,"Junin, Peru",347.0437017994858,4.0
,,Kabardino-Balkarian Republic,Russia,2020-07-09 04:34:23,43.4806048,43.5978976,5388,60,4324,1004,"Kabardino-Balkarian Republic, Russia",622.2944972904551,1.1135857461024499
,,Kagawa,Japan,2020-07-09 04:34:23,34.217292,133.969047,28,0,28,0,"Kagawa, Japan",2.927807584485548,0.0
,,Kagoshima,Japan,2020-07-09 04:34:23,31.009484000000004,130.430665,122,0,11,111,"Kagoshima, Japan",7.614183101131954,0.0
,,Kaliningrad Oblast,Russia,2020-07-09 04:34:23,54.7293041,21.1489473,2564,40,1745,779,"Kaliningrad Oblast, Russia",257.7923364089447,1.5600624024960998
,,Kalmar,Sweden,2020-07-09 04:34:23,57.235,16.1849,721,58,0,663,"Kalmar, Sweden",293.7509676262803,8.044382801664355
,,Kalmykia Republic,Russia,2020-07-09 04:34:23,46.2313018,45.3275745,1987,26,1176,785,"Kalmykia Republic, Russia",721.4619498716472,1.3085052843482636
,,Kaluga Oblast,Russia,2020-07-09 04:34:23,54.4382773,35.5272854,6413,48,4253,2112,"Kaluga Oblast, Russia",633.6605879516549,0.7484796507094963
,,Kamchatka Krai,Russia,2020-07-09 04:34:23,57.1914882,160.03838190000005,2560,28,1519,1013,"Kamchatka Krai, Russia",811.2638921019023,1.09375
,,Kanagawa,Japan,2020-07-09 04:34:23,35.415312,139.338983,1628,97,1382,149,"Kanagawa, Japan",17.69898420006897,5.958230958230958
,,Karachay-Cherkess Republic,Russia,2020-07-09 04:34:23,43.7368326,41.7267991,3919,15,2073,1831,"Karachay-Cherkess Republic, Russia",840.4370530017908,0.3827507017096198
,,Karelia Republic,Russia,2020-07-09 04:34:23,62.61940309999999,33.4920267,1581,3,727,851,"Karelia Republic, Russia",253.98243167695873,0.18975332068311196
,,Karnataka,India,2020-07-09 04:34:23,14.705179999999999,76.166436,28877,470,11876,16531,"Karnataka, India",42.74104792103736,1.6275928939986841
,,Kemerovo Oblast,Russia,2020-07-09 04:34:23,54.53357809999999,87.342861,2134,10,993,1131,"Kemerovo Oblast, Russia",79.18728758306966,0.46860356138706655
,,Kerala,India,2020-07-09 04:34:23,10.450898,76.405749,6195,27,3559,2609,"Kerala, India",17.353211925463373,0.4358353510895884
,,Khabarovsk Krai,Russia,2020-07-09 04:34:23,51.6312684,136.121524,4918,34,2402,2482,"Khabarovsk Krai, Russia",370.24712753575625,0.6913379422529483
,,Khakassia Republic,Russia,2020-07-09 04:34:23,53.72258845,91.44293627,2142,19,1615,508,"Khakassia Republic, Russia",398.5019897193184,0.8870214752567693
,,Khanty-Mansi Autonomous Okrug,Russia,2020-07-09 04:34:23,61.0259025,69.0982628,11141,78,5918,5145,"Khanty-Mansi Autonomous Okrug, Russia",727.1039906855507,0.7001166861143524
,,Kharkiv Oblast,Ukraine,2020-07-09 04:34:23,49.9935,36.2304,2466,99,1261,1106,"Kharkiv Oblast, Ukraine",92.16631197960231,4.014598540145985
,,Kherson Oblast,Ukraine,2020-07-09 04:34:23,46.6354,32.6169,201,3,184,14,"Kherson Oblast, Ukraine",19.37088007401411,1.492537313432836
,,Khmelnytskyi Oblast,Ukraine,2020-07-09 04:34:23,49.423,26.9871,863,20,603,240,"Khmelnytskyi Oblast, Ukraine",68.23725690971412,2.317497103128621
,,Khyber Pakhtunkhwa,Pakistan,2020-07-09 04:34:23,34.485332,72.09169,29052,1054,18791,9207,"Khyber Pakhtunkhwa, Pakistan",95.17952653394673,3.627977419798981
,,Kiev,Ukraine,2020-07-09 04:34:23,50.4501,30.5234,5779,119,1900,3760,"Kiev, Ukraine",195.84519452351898,2.0591797888908117
,,Kiev Oblast,Ukraine,2020-07-09 04:34:23,50.053000000000004,30.7667,2853,55,1623,1175,"Kiev Oblast, Ukraine",161.37425478240215,1.9277953031896249
,,Kirov Oblast,Russia,2020-07-09 04:34:23,57.9665589,49.4074599,3557,42,3077,438,"Kirov Oblast, Russia",277.1894223830653,1.1807703120607254
,,Kirovohrad Oblast,Ukraine,2020-07-09 04:34:23,48.5079,32.2623,664,32,570,62,"Kirovohrad Oblast, Ukraine",70.22375360769246,4.819277108433735
,,Kochi,Japan,2020-07-09 04:34:23,33.422519,133.367307,74,3,71,0,"Kochi, Japan",10.601278743433296,4.054054054054054
,,Komi Republic,Russia,2020-07-09 04:34:23,63.9881421,54.3326073,3949,35,2057,1857,"Komi Republic, Russia",469.63096686419954,0.8863003291972651
,,Kostroma Oblast,Russia,2020-07-09 04:34:23,58.424756,44.2533273,1752,22,1122,608,"Kostroma Oblast, Russia",272.3355571997936,1.2557077625570776
,,Krasnodar Krai,Russia,2020-07-09 04:34:23,45.7684014,39.0261044,6460,83,5412,965,"Krasnodar Krai, Russia",115.28673560075808,1.284829721362229
,,Krasnoyarsk Krai,Russia,2020-07-09 04:34:23,63.3233807,97.0979974,9978,181,5732,4065,"Krasnoyarsk Krai, Russia",346.88025052694303,1.8139907797153738
,,Kronoberg,Sweden,2020-07-09 04:34:23,56.7183,14.4115,1074,100,0,974,"Kronoberg, Sweden",533.0844943887149,9.31098696461825
,,Kumamoto,Japan,2020-07-09 04:34:23,32.608154,130.74523100000002,48,3,45,0,"Kumamoto, Japan",2.7466758069933794,6.25
,,Kurgan Oblast,Russia,2020-07-09 04:34:23,55.7655302,64.5632681,1119,1,600,518,"Kurgan Oblast, Russia",132.34193181374675,0.08936550491510277
,,Kursk Oblast,Russia,2020-07-09 04:34:23,51.6568453,36.4852695,5466,43,3630,1793,"Kursk Oblast, Russia",490.1200372656217,0.7866813025978778
,,Kyoto,Japan,2020-07-09 04:34:23,35.253815,135.443341,415,18,348,49,"Kyoto, Japan",16.066856707254516,4.337349397590361
,,La Guajira,Colombia,2020-07-09 04:34:23,11.3548,-72.5205,726,34,138,554,"La Guajira, Colombia",82.44753338784409,4.683195592286501
,,La Libertad,Peru,2020-07-09 04:34:23,-7.92139,-78.370238,11336,725,0,10611,"La Libertad, Peru",562.0785402618009,6.395553987297107
,,La Rioja,Spain,2020-07-09 04:34:23,42.2871,-2.5396,4079,366,3107,606,"La Rioja, Spain",1300.8218234466835,8.972787447903897
,,Ladakh,India,2020-07-09 04:34:23,34.1526,77.5771,1041,1,836,204,"Ladakh, India",379.5267035863633,0.09606147934678194
,,Lambayeque,Peru,2020-07-09 04:34:23,-6.3530489999999995,-79.824113,14561,777,0,13784,"Lambayeque, Peru",1110.8483368935001,5.336171966211112
,,Lazio,Italy,2020-07-09 04:34:23,41.89277044,12.48366722,8224,842,6508,874,"Lazio, Italy",139.88578488954568,10.238326848249027
,,Leningrad Oblast,Russia,2020-07-09 04:34:23,60.1853296,32.3925325,4842,35,4219,588,"Leningrad Oblast, Russia",266.951002747798,0.7228418009087154
,,Liaoning,China,2020-07-09 04:34:23,41.2956,122.6085,162,2,150,10,"Liaoning, China",0.3716448726772196,1.2345679012345678
,,Liguria,Italy,2020-07-09 04:34:23,44.41149315,8.9326992,10006,1558,8161,287,"Liguria, Italy",645.2819480988495,15.570657605436738
,,Lima,Peru,2020-07-09 04:34:23,-11.766533,-76.60449799999998,169986,5156,0,164830,"Lima, Peru",1599.3413934233429,3.033190968668008
,,Lipetsk Oblast,Russia,2020-07-09 04:34:23,52.6935178,39.1122664,4060,19,2719,1322,"Lipetsk Oblast, Russia",352.9817831839826,0.46798029556650245
,,Lombardia,Italy,2020-07-09 04:34:23,45.46679409,9.190347404,94651,16725,69466,8460,"Lombardia, Italy",940.8111306571576,17.670177811116627
,,Loreto,Peru,2020-07-09 04:34:23,-4.124847,-74.424115,9598,354,0,9244,"Loreto, Peru",934.0210198520824,3.68826838924776
,,Los Lagos,Chile,2020-07-09 04:34:23,-41.9198,-72.1416,2047,21,1613,413,"Los Lagos, Chile",247.01100990940117,1.0258915486077187
,,Los Rios,Chile,2020-07-09 04:34:23,-40.231,-72.3311,740,11,674,55,"Los Rios, Chile",192.2892029612537,1.4864864864864864
,,Luhansk Oblast,Ukraine,2020-07-09 04:34:23,48.574,39.3078,87,0,69,18,"Luhansk Oblast, Ukraine",4.043064680205202,0.0
,,Lviv Oblast,Ukraine,2020-07-09 04:34:23,49.8397,24.0297,6562,170,974,5418,"Lviv Oblast, Ukraine",260.1881586235801,2.5906735751295336
,,Macau,China,2020-07-09 04:34:23,22.1667,113.55,46,0,45,1,"Macau, China",7.084094360136879,0.0
,,Madhya Pradesh,India,2020-07-09 04:34:23,23.541513000000002,78.289633,16036,629,11987,3420,"Madhya Pradesh, India",18.786544565061213,3.922424544774258
