FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,,Kuwait,2020-07-09 04:34:23,29.311659999999996,47.481766,52007,379,42108,9520,Kuwait,1217.8019619427228,0.7287480531466918
,,,Kyrgyzstan,2020-07-09 04:34:23,41.20438,74.766098,8847,116,3053,5678,Kyrgyzstan,135.60301959277402,1.3111789307109756
,,,Laos,2020-07-09 04:34:23,19.856270000000002,102.495496,19,0,19,0,Laos,0.261148426319583,0.0
,,,Latvia,2020-07-09 04:34:23,56.8796,24.6032,1141,30,1008,103,Latvia,60.491930344682075,2.629272567922875
,,,Lebanon,2020-07-09 04:34:23,33.8547,35.8623,1946,36,1368,542,Lebanon,28.51097408783197,1.8499486125385407
,,,Lesotho,2020-07-09 04:34:23,-29.609988,28.233608,91,0,11,80,Lesotho,4.247866264099648,0.0
,,,Liberia,2020-07-09 04:34:23,6.4280550000000005,-9.429499,926,41,395,490,Liberia,18.308800660856754,4.427645788336933
,,,Libya,2020-07-09 04:34:23,26.3351,17.228331,1268,36,306,926,Libya,18.453602651148177,2.8391167192429023
,,,Liechtenstein,2020-07-09 04:34:23,47.14,9.55,84,1,81,2,Liechtenstein,220.2585415737997,1.1904761904761905
,,,Lithuania,2020-07-09 04:34:23,55.1694,23.8813,1854,79,1552,223,Lithuania,68.10440177042058,4.261057173678533
,,,Luxembourg,2020-07-09 04:34:23,49.8153,6.1296,4650,110,4056,484,Luxembourg,742.8399810855368,2.3655913978494625
,,,MS Zaandam,2020-07-09 04:34:23,,,9,2,0,7,MS Zaandam,,22.22222222222222
,,,Madagascar,2020-07-09 04:34:23,-18.766947000000002,46.869107,3573,33,1761,1779,Madagascar,12.90310046011669,0.9235936188077246
,,,Malawi,2020-07-09 04:34:23,-13.254307999999998,34.301525,1864,24,345,1495,Malawi,9.743880735736179,1.2875536480686696
,,,Malaysia,2020-07-09 04:34:23,4.210483999999999,101.97576600000001,8677,121,8486,70,Malaysia,26.80899875233261,1.3944911835887979
,,,Maldives,2020-07-09 04:34:23,3.2028,73.2207,2517,13,2180,324,Maldives,465.64374276189454,0.5164878823996821
,,,Mali,2020-07-09 04:34:23,17.570692,-3.996166000000001,2358,120,1597,641,Mali,11.64396488559434,5.089058524173028
,,,Malta,2020-07-09 04:34:23,35.9375,14.3754,673,9,654,10,Malta,152.42141690767974,1.337295690936107
,,,Mauritania,2020-07-09 04:34:23,21.0079,-10.9408,5087,139,1994,2954,Mauritania,109.40584902982157,2.7324552781600158
